MMYYYY,USEP,Type
2015-01,90.62,Actual
2015-02,93.29,Actual
2015-03,81.72,Actual
2015-04,98.10,Actual
2015-05,103.18,Actual
2015-06,107.84,Actual
2015-07,207.03,Actual
2015-08,102.43,Actual
2015-09,81.49,Actual
2015-10,66.87,Actual
2015-11,56.84,Actual
2015-12,60.66,Actual
2016-01,74.89,Actual
2016-02,49.06,Actual
2016-03,44.81,Actual
2016-04,43.60,Actual
2016-05,55.54,Actual
2016-06,49.10,Actual
2016-07,62.94,Actual
2016-08,67.12,Actual
2016-09,77.72,Actual
2016-10,71.89,Actual
2016-11,72.99,Actual
2016-12,88.43,Actual
2017-01,84.56,Actual
2017-02,84.75,Actual
2017-03,76.42,Actual
2017-04,82.68,Actual
2017-05,82.50,Actual
2017-06,84.13,Actual
2017-07,79.21,Actual
2017-08,73.40,Actual
2017-09,74.77,Actual
2017-10,77.55,Actual
2017-11,83.82,Actual
2017-12,87.44,Actual
2018-01,86.10,Actual
2018-02,98.57,Actual
2018-03,104.31,Actual
2018-04,103.33,Actual
2018-05,112.56,Actual
2018-06,110.71,Actual
2018-07,108.06,Actual
2018-08,112.89,Actual
2018-09,117.33,Actual
2018-10,154.02,Actual
2018-11,114.21,Actual
2018-12,100.44,Actual
2019-01,112.57,Actual
2019-02,115.17,Actual
2019-03,113.54,Actual
2019-04,99.62,Actual
2019-05,93.28,Actual
2019-06,89.84,Actual
2019-07,112.72,Actual
2019-08,93.28,Actual
2019-09,95.97,Actual
2019-10,94.39,Actual
2019-11,88.79,Actual
2019-12,71.24,Actual
